State,Crop,Season,SoilType,FarmingMethod,IrrigationType,FertilizerUsed,PesticideUsed,ImprovedSeed,Temperature(°C),Humidity(%),FarmExperience(Years),NumWorkers,CreditAccess,ExtensionServices,PreviousYield(tons/ha),YieldCategory,Rainfall(mm)_log,SoilPH_log,Fertilizer(kg/ha)_log,Pesticide(L/ha)_log,DistanceToMarket(km)_log,PlantingDensity(plants/ha)_log,ActualYield(tons/ha)_log,FarmSize(Hectares)_log,FarmAccessComfort,EnvironmentComfort,SoilIndex,IncreaseRate
Kaduna,Rice,Rainy Season,Clay,Irrigation,Flood,Yes,No,No,35.9,62.8,25,3,1,1,3.3,Medium,6.629,2.059,4.562,2.028,1.932,10.934,1.428,1.558,0.806,0.572,1.001,1.1
Adamawa,Groundnut,Rainy Season,Sandy,Rain-Fed,Sprinkler,Yes,Yes,Yes,31.8,41.4,22,4,1,0,3.4,Medium,6.473,1.792,4.199,1.286,3.077,10.626,1.477,1.992,0.647,0.768,1.08,0.85
Katsina,Yam,Rainy Season,Sandy,Rain-Fed,Flood,Yes,Yes,No,26.8,42.5,11,5,0,0,3.09,Low,6.628,1.844,4.184,1.479,3.55,11.251,1.182,0.703,0.198,0.631,1.1,0.618
Niger,Sorghum,Dry Season,Loamy,Mixed,Flood,No,No,Yes,28.0,55.1,9,3,1,0,3.39,Low,6.157,1.974,3.371,1.227,2.965,10.978,1.203,0.631,0.213,0.508,1.152,1.13
Jigawa,Sorghum,Dry Season,Sandy,Rain-Fed,Flood,Yes,No,No,28.6,71.0,9,6,1,0,1.79,Medium,6.739,1.956,4.656,1.788,2.701,11.258,1.449,1.418,0.525,0.403,1.019,0.298
Sokoto,Cassava,Dry Season,Sandy,Rain-Fed,Sprinkler,No,Yes,Yes,27.1,48.9,9,6,0,0,1.98,Low,6.875,1.813,4.6,1.74,3.25,11.111,1.118,0.599,0.184,0.554,1.072,0.33
Niger,Sorghum,Dry Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,30.8,42.6,0,6,0,1,4.44,High,6.851,1.765,4.304,1.459,3.328,10.731,1.953,1.03,0.309,0.723,1.129,0.74
Kano,Yam,Rainy Season,Loamy,Rain-Fed,Flood,No,No,Yes,20.8,57.2,18,2,1,0,4.47,Medium,6.748,1.96,5.018,1.908,3.63,11.174,1.43,0.678,0.187,0.364,0.967,2.235
Taraba,Rice,Rainy Season,Silt,Mixed,Flood,No,No,No,30.2,97.3,9,1,0,1,1.97,Low,7.042,1.971,2.766,1.399,2.303,10.725,1.082,0.593,0.257,0.31,1.487,1.97
Gombe,Groundnut,Dry Season,Clay,Mixed,Drip,No,No,Yes,27.5,54.7,0,4,0,1,2.23,Low,7.099,1.991,2.929,1.593,3.459,10.841,1.289,0.678,0.196,0.503,1.443,0.558
Kano,Wheat,Rainy Season,Loamy,Irrigation,Sprinkler,No,No,Yes,25.1,77.2,11,7,1,0,1.58,Medium,6.724,1.837,4.3,0.0,1.792,11.233,1.558,2.17,1.211,0.325,1.096,0.226
Katsina,Cowpea,Dry Season,Loamy,Rain-Fed,Flood,No,Yes,No,25.5,32.8,12,1,1,0,5.31,Medium,6.509,1.953,4.418,0.0,2.425,10.959,1.099,1.725,0.711,0.777,1.022,5.31
Benue,Sorghum,Rainy Season,Loamy,Rain-Fed,Flood,No,No,No,18.9,70.9,16,4,1,0,4.97,Medium,6.875,2.069,4.453,1.552,3.281,11.177,1.502,1.314,0.4,0.267,1.054,1.242
Benue,Soybean,Dry Season,Loamy,Mixed,Drip,Yes,No,Yes,28.5,57.3,15,5,1,1,2.2,Medium,6.563,1.973,4.243,0.068,2.76,11.242,1.517,0.482,0.175,0.497,1.056,0.44
Adamawa,Millet,Rainy Season,Sandy,Irrigation,Flood,Yes,Yes,Yes,31.5,63.4,2,3,0,0,4.97,Medium,6.985,1.837,3.938,1.959,2.208,10.489,1.491,0.631,0.286,0.497,1.21,1.657
Sokoto,Soybean,Dry Season,Clay,Mixed,Sprinkler,No,Yes,No,30.9,58.8,18,2,1,1,2.1,Medium,6.722,2.008,4.289,0.0,3.603,10.741,1.289,2.058,0.571,0.526,1.067,1.05
Niger,Rice,Rainy Season,Loamy,Mixed,Drip,No,Yes,No,19.5,82.1,16,6,0,0,3.85,Low,6.741,1.772,4.083,1.732,0.693,10.883,1.109,1.044,1.506,0.238,1.151,0.642
Yobe,Wheat,Dry Season,Loamy,Rain-Fed,Flood,Yes,No,Yes,34.0,60.9,25,6,0,1,1.64,Medium,7.121,2.201,4.196,1.692,0.693,10.703,1.545,0.14,0.202,0.558,1.113,0.273
Benue,Cassava,Rainy Season,Sandy,Rain-Fed,Flood,No,No,Yes,27.6,60.6,2,5,0,0,1.63,Low,6.812,2.016,4.072,1.625,3.608,10.852,1.144,1.486,0.412,0.455,1.119,0.326
Kebbi,Rice,Rainy Season,Loamy,Irrigation,None,No,Yes,No,29.5,53.5,7,5,0,0,2.42,Medium,6.403,1.95,4.978,1.445,3.882,10.148,1.209,0.599,0.154,0.551,0.924,0.484
Adamawa,Soybean,Dry Season,Sandy,Mixed,Flood,Yes,Yes,No,26.5,57.7,24,3,0,0,3.86,Medium,6.413,1.907,4.736,1.662,3.431,11.186,1.289,0.3,0.087,0.459,0.965,1.287
Kebbi,Yam,Rainy Season,Silt,Rain-Fed,Sprinkler,No,Yes,No,18.0,57.2,27,4,0,0,3.69,Medium,7.124,2.178,4.0,1.394,1.649,10.723,1.645,1.459,0.885,0.315,1.153,0.922
Bauchi,Cowpea,Dry Season,Loamy,Rain-Fed,Sprinkler,Yes,Yes,Yes,31.1,74.5,8,4,0,0,3.96,Medium,6.547,1.831,4.399,1.611,2.61,11.027,1.437,0.482,0.185,0.417,1.051,0.99
Sokoto,Rice,Rainy Season,Clay,Irrigation,None,Yes,Yes,No,29.6,76.4,12,3,0,1,3.78,Medium,6.249,1.942,4.009,1.506,2.351,10.513,1.445,1.725,0.734,0.387,1.05,1.26
Plateau,Maize,Dry Season,Clay,Irrigation,Sprinkler,Yes,Yes,Yes,30.4,72.0,18,3,0,0,3.8,High,7.13,2.133,4.405,1.244,3.063,11.109,1.82,1.463,0.478,0.422,1.091,1.267
Gombe,Cowpea,Dry Season,Sandy,Irrigation,Flood,No,Yes,Yes,27.4,52.4,7,3,0,1,4.29,Medium,7.027,2.046,4.792,1.923,3.463,10.526,1.479,2.17,0.627,0.523,1.028,1.43
Taraba,Maize,Dry Season,Clay,Irrigation,Flood,No,Yes,Yes,33.3,53.8,0,4,0,0,4.62,Medium,6.901,1.94,4.635,0.0,3.3,11.005,1.466,1.484,0.45,0.619,1.05,1.155
Niger,Sorghum,Rainy Season,Loamy,Irrigation,Sprinkler,Yes,No,Yes,29.0,45.2,16,2,1,1,2.79,High,6.829,2.014,5.045,1.735,3.262,10.902,1.837,0.751,0.23,0.642,0.967,1.395
Jigawa,Millet,Dry Season,Loamy,Rain-Fed,Drip,No,No,Yes,28.6,75.1,18,3,0,1,2.9,Medium,7.138,2.099,4.425,1.611,1.649,11.187,1.413,1.737,1.053,0.381,1.094,0.967
Gombe,Rice,Dry Season,Silt,Mixed,Drip,No,No,Yes,19.6,70.0,0,6,1,1,3.28,Medium,7.047,1.975,4.292,1.502,0.693,10.607,1.484,0.723,1.043,0.28,1.124,0.547
Adamawa,Cowpea,Dry Season,Loamy,Irrigation,Flood,Yes,No,Yes,27.0,31.6,14,6,1,1,4.62,High,6.995,2.028,4.734,1.808,3.63,11.119,1.788,0.859,0.237,0.854,1.034,0.77
Katsina,Cassava,Rainy Season,Sandy,Rain-Fed,Flood,Yes,No,Yes,31.5,60.8,15,3,1,0,3.66,Medium,6.684,1.939,4.849,1.338,0.693,11.372,1.541,0.871,1.257,0.518,0.985,1.22
Zamfara,Maize,Rainy Season,Loamy,Mixed,Flood,Yes,No,Yes,30.3,80.1,16,3,1,1,1.11,Medium,5.846,2.069,4.328,1.746,2.991,10.974,1.599,0.14,0.047,0.378,0.914,0.37
Zamfara,Groundnut,Rainy Season,Clay,Mixed,Flood,Yes,No,No,27.99,57.7,16,5,0,1,0.9,Low,6.767,2.091,4.71,1.488,3.691,10.949,1.286,1.836,0.497,0.485,0.995,0.18
Jigawa,Soybean,Rainy Season,Clay,Irrigation,Drip,No,Yes,Yes,30.0,69.7,14,7,1,0,2.56,Medium,6.527,1.92,4.683,1.112,0.693,10.873,1.484,0.599,0.864,0.43,0.988,0.366
Zamfara,Cowpea,Dry Season,Clay,Irrigation,Flood,Yes,No,Yes,26.5,84.1,7,4,0,0,3.3,Medium,6.745,1.879,3.339,1.585,0.693,10.75,1.256,0.693,1.0,0.315,1.293,0.825
Benue,Millet,Rainy Season,Silt,Rain-Fed,Drip,Yes,Yes,No,22.6,59.9,5,1,1,0,2.18,Low,6.665,1.992,4.52,1.923,3.339,11.096,0.829,0.732,0.219,0.377,1.023,2.18
Plateau,Rice,Rainy Season,Clay,Rain-Fed,Flood,Yes,Yes,Yes,27.5,48.9,11,3,1,1,4.26,Medium,6.799,2.239,3.165,0.104,3.001,11.275,1.197,1.603,0.534,0.562,1.258,1.42
Bauchi,Cowpea,Rainy Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,25.9,82.0,7,2,0,0,1.31,Medium,6.508,1.914,4.59,1.577,2.734,11.131,1.409,1.404,0.514,0.316,1.001,0.655
Plateau,Rice,Dry Season,Loamy,Irrigation,Drip,Yes,Yes,Yes,25.6,77.1,16,4,1,0,4.94,High,5.365,2.088,4.309,1.437,3.059,11.263,1.953,2.17,0.709,0.332,0.839,1.235
Bauchi,Yam,Rainy Season,Clay,Irrigation,Drip,Yes,No,Yes,28.7,70.7,12,2,1,1,2.52,Medium,6.326,2.004,2.398,1.386,2.639,10.464,1.442,0.833,0.316,0.406,1.437,1.26
Niger,Maize,Rainy Season,Loamy,Mixed,Sprinkler,No,No,Yes,30.4,49.0,14,5,1,1,3.14,Medium,7.103,2.061,4.525,1.16,3.555,11.079,1.308,1.241,0.349,0.62,1.078,0.628
Niger,Cowpea,Dry Season,Loamy,Mixed,Flood,Yes,No,Yes,23.4,69.7,0,4,1,1,3.97,Medium,6.551,2.055,4.029,2.292,3.547,10.351,1.3,1.423,0.401,0.336,1.077,0.992
Plateau,Cowpea,Rainy Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,26.8,65.8,10,4,1,1,3.33,High,6.943,2.027,4.222,1.267,1.96,10.737,1.633,0.571,0.291,0.407,1.111,0.832
Sokoto,Millet,Dry Season,Silt,Mixed,Sprinkler,No,Yes,No,18.0,86.6,13,6,1,1,4.6,Medium,6.909,1.87,4.478,1.842,3.517,11.07,1.579,1.353,0.385,0.208,1.088,0.767
Niger,Millet,Rainy Season,Clay,Mixed,Sprinkler,No,No,Yes,30.1,80.2,10,3,0,1,2.88,Low,6.505,2.066,5.14,1.89,3.325,10.677,0.678,1.651,0.497,0.375,0.903,0.96
Sokoto,Soybean,Dry Season,Loamy,Mixed,Flood,Yes,No,Yes,26.5,51.8,17,4,0,0,1.95,Medium,7.049,1.975,4.595,1.8,1.411,10.512,1.356,1.194,0.846,0.512,1.073,0.488
Adamawa,Cassava,Dry Season,Silt,Rain-Fed,Flood,Yes,Yes,Yes,29.5,64.0,16,3,1,0,4.36,High,6.717,2.099,4.117,1.401,3.431,10.399,1.953,1.732,0.505,0.461,1.081,1.453
Kano,Rice,Dry Season,Loamy,Mixed,Drip,Yes,No,Yes,26.3,67.4,2,7,0,1,3.79,Medium,6.743,2.045,3.809,1.577,3.544,10.914,1.413,0.708,0.2,0.39,1.152,0.541
Kebbi,Wheat,Dry Season,Clay,Irrigation,Flood,No,No,No,27.8,73.0,21,1,0,1,4.04,Medium,6.888,2.092,4.963,1.396,3.512,10.463,1.662,1.238,0.353,0.381,0.976,4.04
Jigawa,Soybean,Dry Season,Silt,Rain-Fed,Drip,Yes,Yes,No,24.2,57.7,10,5,1,1,4.07,Medium,6.674,1.852,4.619,2.028,3.054,10.6,1.477,0.3,0.098,0.419,1.031,0.814
Taraba,Millet,Rainy Season,Sandy,Rain-Fed,Flood,Yes,No,Yes,18.9,54.7,2,5,0,1,4.17,Low,6.311,2.105,4.883,0.663,0.693,10.805,1.122,0.548,0.791,0.346,0.903,0.834
Adamawa,Wheat,Rainy Season,Silt,Rain-Fed,Drip,No,No,No,23.3,58.6,5,3,0,1,3.58,Low,6.478,1.726,4.272,1.858,3.953,10.964,1.278,1.859,0.47,0.398,1.08,1.193
Gombe,Sorghum,Dry Season,Sandy,Mixed,Flood,Yes,No,Yes,34.1,60.3,24,6,1,0,1.99,Low,6.544,2.132,4.264,0.174,3.55,10.802,0.751,0.599,0.169,0.566,1.023,0.332
Niger,Wheat,Rainy Season,Loamy,Irrigation,Flood,No,Yes,No,23.1,75.4,11,5,1,1,3.55,Medium,7.084,1.859,3.532,1.775,3.421,10.775,1.461,1.8,0.526,0.306,1.314,0.71
Plateau,Maize,Dry Season,Clay,Rain-Fed,Flood,No,Yes,Yes,28.4,66.9,25,4,0,1,2.28,Low,6.647,2.031,4.286,1.564,3.04,10.446,1.241,0.765,0.252,0.425,1.052,0.57
Kebbi,Cowpea,Rainy Season,Silt,Irrigation,Flood,No,Yes,No,30.4,54.4,1,1,1,0,2.17,Medium,6.709,1.899,3.928,0.223,3.307,10.856,1.386,1.662,0.503,0.559,1.151,2.17
Bauchi,Millet,Dry Season,Loamy,Rain-Fed,Flood,Yes,No,No,24.3,70.8,3,1,1,0,3.66,Medium,6.922,1.985,4.709,1.793,3.096,11.017,1.261,1.001,0.323,0.343,1.034,3.66
Kebbi,Cowpea,Rainy Season,Loamy,Mixed,Flood,Yes,No,No,27.3,54.3,11,5,0,1,3.14,Medium,7.073,1.991,4.611,1.141,2.322,11.0,1.43,2.161,0.931,0.503,1.071,0.628
Kaduna,Soybean,Dry Season,Loamy,Irrigation,Sprinkler,Yes,Yes,Yes,30.9,59.3,7,1,1,0,2.1,Medium,6.533,1.858,0.0,1.25,3.424,11.029,1.351,0.262,0.077,0.521,3.516,2.1
Gombe,Yam,Rainy Season,Loamy,Rain-Fed,Flood,No,Yes,Yes,31.4,59.4,10,3,0,0,3.51,Medium,6.698,2.076,4.729,1.224,3.059,11.128,1.548,1.065,0.348,0.529,0.984,1.17
Adamawa,Millet,Dry Season,Silt,Mixed,Flood,Yes,No,No,33.7,68.7,17,7,0,1,3.55,Medium,6.629,1.914,4.747,1.836,1.548,11.249,1.477,0.095,0.061,0.491,0.995,0.507
Yobe,Millet,Dry Season,Loamy,Rain-Fed,Flood,Yes,Yes,Yes,31.5,60.1,14,8,0,1,3.12,High,7.105,1.959,4.454,1.264,2.416,11.126,1.71,1.723,0.713,0.524,1.108,0.39
Plateau,Groundnut,Rainy Season,Loamy,Rain-Fed,Flood,Yes,Yes,No,34.1,80.1,2,8,1,0,3.41,Medium,6.605,1.895,3.879,1.537,3.1,10.989,1.509,0.519,0.167,0.426,1.144,0.426
Taraba,Cowpea,Dry Season,Loamy,Mixed,Flood,Yes,No,Yes,22.8,71.1,16,7,1,1,2.78,High,6.956,2.067,4.623,1.319,3.424,11.064,1.953,1.643,0.48,0.321,1.04,0.397
Plateau,Millet,Rainy Season,Loamy,Mixed,Drip,Yes,Yes,Yes,23.9,90.9,12,2,0,1,3.75,Medium,6.516,2.001,3.016,0.952,1.96,11.08,1.322,1.437,0.733,0.263,1.299,1.875
Niger,Yam,Dry Season,Sandy,Irrigation,Flood,Yes,Yes,Yes,26.7,83.1,19,9,0,1,3.3,Medium,6.657,1.694,4.574,0.536,2.293,11.235,1.376,0.793,0.346,0.321,1.062,0.367
Bauchi,Yam,Dry Season,Sandy,Rain-Fed,Flood,Yes,Yes,No,24.0,65.9,14,3,1,0,3.2,Medium,6.967,2.027,4.389,1.768,3.592,10.585,1.5,1.905,0.53,0.364,1.086,1.067
Katsina,Maize,Rainy Season,Sandy,Irrigation,Sprinkler,No,Yes,Yes,25.4,80.3,11,1,1,1,1.48,Medium,6.928,1.889,4.76,1.766,3.339,10.875,1.203,0.122,0.037,0.316,1.042,1.48
Kano,Rice,Rainy Season,Loamy,Irrigation,Drip,No,Yes,Yes,21.1,74.7,16,2,0,0,2.16,Medium,6.321,1.984,4.522,1.131,2.416,11.201,1.53,0.095,0.039,0.282,0.972,1.08
Sokoto,Millet,Dry Season,Loamy,Irrigation,Flood,No,No,No,28.1,89.7,20,3,0,0,2.36,Medium,6.797,1.816,4.467,2.196,0.693,11.276,1.649,0.438,0.632,0.313,1.082,0.787
Jigawa,Yam,Rainy Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,27.2,44.9,5,1,1,0,5.12,High,6.616,1.995,4.325,1.169,2.827,10.47,1.902,0.626,0.221,0.606,1.047,5.12
Jigawa,Yam,Rainy Season,Sandy,Irrigation,Sprinkler,Yes,No,No,31.0,94.9,2,5,0,1,2.69,Low,5.996,2.02,5.154,2.164,2.442,11.066,0.978,0.811,0.332,0.327,0.836,0.538
Katsina,Maize,Rainy Season,Sandy,Mixed,Sprinkler,No,No,No,24.9,58.7,12,6,0,1,2.24,Low,7.122,2.058,4.091,1.768,0.956,10.675,0.9,2.17,2.27,0.424,1.158,0.373
Jigawa,Groundnut,Rainy Season,Sandy,Rain-Fed,Flood,Yes,Yes,No,19.6,48.6,17,2,1,1,3.24,Medium,6.414,2.048,0.0,1.543,1.932,10.93,1.264,0.223,0.115,0.403,3.132,1.62
Gombe,Rice,Dry Season,Sandy,Irrigation,Flood,Yes,Yes,Yes,25.0,63.4,12,4,0,0,6.1,High,6.697,2.003,4.488,0.0,2.646,11.007,1.577,2.17,0.82,0.394,1.032,1.525
Kano,Cassava,Dry Season,Silt,Mixed,Flood,Yes,No,No,25.1,59.6,11,3,0,0,2.39,Low,5.916,1.884,4.282,1.105,1.504,10.691,0.833,1.235,0.821,0.421,0.959,0.797
Katsina,Millet,Rainy Season,Clay,Irrigation,Flood,Yes,Yes,Yes,28.3,74.9,12,6,0,0,1.21,Medium,6.343,1.967,3.752,2.073,3.277,11.129,1.511,0.85,0.259,0.378,1.109,0.202
Jigawa,Cassava,Dry Season,Sandy,Rain-Fed,Drip,Yes,No,Yes,25.6,75.4,22,5,1,0,2.34,Medium,6.893,1.973,3.497,1.506,2.929,10.451,1.615,0.174,0.059,0.34,1.26,0.468
Jigawa,Cassava,Dry Season,Silt,Irrigation,Drip,No,No,No,26.5,54.0,6,1,0,0,4.39,Low,6.93,1.844,4.394,1.517,3.437,11.029,0.967,0.223,0.065,0.491,1.111,4.39
Sokoto,Soybean,Dry Season,Sandy,Rain-Fed,Flood,Yes,Yes,Yes,29.6,74.8,9,8,1,1,3.63,High,7.019,1.927,4.969,1.482,2.918,10.058,1.953,2.039,0.699,0.396,1.018,0.454
Bauchi,Groundnut,Rainy Season,Silt,Irrigation,Sprinkler,Yes,No,No,30.8,96.9,24,3,1,0,4.39,Medium,6.605,2.089,3.735,1.658,3.277,10.916,1.479,0.908,0.277,0.318,1.134,1.463
Bauchi,Soybean,Rainy Season,Clay,Rain-Fed,Sprinkler,No,No,No,24.7,67.4,11,5,1,1,2.12,Low,7.023,1.873,4.414,1.782,1.386,10.053,1.04,1.095,0.79,0.366,1.117,0.424
Yobe,Cowpea,Dry Season,Sandy,Rain-Fed,Flood,No,No,Yes,35.3,62.8,27,9,1,0,2.95,Low,7.338,1.915,4.65,1.595,0.693,11.267,1.182,0.959,1.384,0.562,1.118,0.328
Jigawa,Wheat,Rainy Season,Loamy,Rain-Fed,Flood,Yes,Yes,Yes,28.0,46.8,15,3,1,0,2.99,High,7.252,2.117,4.182,1.997,2.885,9.92,1.953,0.489,0.169,0.598,1.151,0.997
Benue,Maize,Rainy Season,Silt,Irrigation,Flood,No,No,No,24.6,88.7,18,4,1,1,0.98,Medium,6.583,1.94,3.006,1.447,3.411,11.328,1.475,1.962,0.575,0.277,1.331,0.245
Plateau,Yam,Rainy Season,Sandy,Mixed,Sprinkler,Yes,No,Yes,28.7,51.7,18,5,1,0,3.11,Medium,7.338,1.957,4.054,0.0,2.773,11.106,1.541,1.461,0.527,0.555,1.221,0.622
Katsina,Yam,Rainy Season,Loamy,Rain-Fed,Flood,No,Yes,Yes,19.4,75.8,12,7,1,1,2.89,Medium,7.056,1.876,3.839,1.683,3.506,10.365,1.275,1.5,0.428,0.256,1.235,0.413
Niger,Rice,Dry Season,Loamy,Irrigation,Flood,No,No,Yes,29.4,53.8,12,2,0,0,1.22,Medium,6.814,1.826,4.483,1.658,2.501,11.173,1.2,0.365,0.146,0.546,1.08,0.61
Taraba,Groundnut,Dry Season,Clay,Rain-Fed,Flood,No,Yes,Yes,27.9,85.9,4,1,0,1,1.49,Low,7.02,2.001,4.13,1.411,2.674,11.048,0.967,0.495,0.185,0.325,1.145,1.49
Adamawa,Yam,Rainy Season,Sandy,Mixed,Flood,Yes,No,Yes,28.03,88.0,11,3,1,1,2.02,Medium,6.869,2.001,4.505,1.694,1.629,11.455,1.244,1.705,1.047,0.319,1.056,0.673
Yobe,Soybean,Dry Season,Loamy,Rain-Fed,Drip,No,No,Yes,28.1,72.5,28,3,0,1,1.85,Medium,6.852,2.059,4.485,1.747,2.89,11.436,1.437,1.621,0.561,0.388,1.047,0.617
Zamfara,Wheat,Dry Season,Silt,Irrigation,Flood,No,No,Yes,31.2,83.9,23,5,1,0,2.78,Medium,6.397,1.93,4.61,1.535,3.182,10.603,1.493,0.971,0.305,0.372,0.978,0.556
Niger,Soybean,Dry Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,30.5,38.6,10,4,1,0,1.84,Medium,6.318,1.818,0.833,1.463,3.082,10.989,1.335,0.833,0.27,0.79,2.383,0.46
Sokoto,Cassava,Rainy Season,Clay,Mixed,Flood,No,Yes,No,32.3,65.3,13,1,0,0,1.15,Very low,6.35,1.889,3.902,0.358,1.308,10.311,0.457,1.244,0.951,0.495,1.097,1.15
Taraba,Cowpea,Dry Season,Loamy,Mixed,Drip,Yes,No,Yes,32.9,55.2,20,5,1,0,0.2,Medium,6.933,2.175,4.839,2.185,2.931,10.982,1.43,0.351,0.12,0.596,0.988,0.04
Niger,Yam,Dry Season,Sandy,Mixed,Flood,Yes,No,No,27.8,74.7,13,3,0,0,2.42,Low,7.178,1.899,4.754,1.861,3.35,10.72,1.089,0.174,0.052,0.372,1.079,0.807
Kebbi,Cassava,Rainy Season,Clay,Rain-Fed,Flood,No,Yes,No,27.3,50.4,7,1,0,0,1.47,Low,6.914,1.901,3.859,1.075,3.122,10.881,0.678,0.908,0.291,0.542,1.2,1.47
Plateau,Yam,Dry Season,Sandy,Irrigation,Flood,No,No,No,25.6,69.4,11,5,1,0,2.49,Very low,5.303,1.853,3.873,1.358,3.332,11.212,0.351,0.365,0.11,0.369,0.926,0.498
Taraba,Millet,Rainy Season,Clay,Irrigation,Flood,No,Yes,No,24.4,23.5,13,2,1,1,4.11,Medium,6.763,1.97,4.732,1.69,3.001,11.227,1.319,0.27,0.09,1.038,1.009,2.055
Kebbi,Sorghum,Rainy Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,34.5,55.6,18,2,0,1,3.32,High,6.307,1.967,4.615,1.369,2.874,10.802,1.579,0.604,0.21,0.621,0.958,1.66
Niger,Maize,Rainy Season,Clay,Rain-Fed,Flood,No,No,Yes,28.5,54.2,12,2,0,0,2.04,Very low,5.614,2.235,4.404,1.292,2.986,10.829,0.378,1.092,0.366,0.526,0.846,1.02
Kano,Maize,Rainy Season,Sandy,Rain-Fed,Flood,Yes,No,Yes,28.07,43.8,0,4,1,1,2.04,Medium,6.622,1.984,4.665,0.793,3.211,10.826,1.587,0.215,0.067,0.641,0.996,0.51
Kaduna,Yam,Rainy Season,Loamy,Irrigation,Sprinkler,No,No,No,26.2,76.7,9,5,0,1,3.6,Medium,6.76,2.084,4.95,1.332,2.116,11.194,1.509,0.952,0.45,0.342,0.961,0.72
Kano,Wheat,Dry Season,Loamy,Rain-Fed,Sprinkler,No,Yes,No,21.5,55.1,0,2,1,1,2.48,Medium,7.139,2.096,4.409,1.235,1.902,10.167,1.53,0.956,0.503,0.39,1.097,1.24
Plateau,Groundnut,Dry Season,Loamy,Rain-Fed,Sprinkler,No,Yes,No,26.3,67.2,22,3,0,1,3.76,Medium,6.869,1.985,4.667,1.926,3.054,10.72,1.416,0.495,0.162,0.391,1.033,1.253
Taraba,Rice,Rainy Season,Sandy,Rain-Fed,Sprinkler,No,Yes,Yes,22.9,66.8,19,4,1,0,4.1,Low,6.603,1.829,3.517,1.825,3.27,10.932,0.859,1.061,0.324,0.343,1.235,1.025
Taraba,Wheat,Rainy Season,Loamy,Irrigation,Sprinkler,No,No,Yes,31.5,67.4,12,1,0,1,4.73,Medium,6.793,1.813,3.567,1.859,2.632,11.265,1.324,0.191,0.073,0.467,1.263,4.73
Plateau,Groundnut,Rainy Season,Loamy,Irrigation,Sprinkler,Yes,Yes,Yes,24.5,71.6,4,6,0,0,6.04,High,6.933,2.074,4.767,1.805,3.223,10.835,1.737,0.912,0.283,0.342,1.013,1.007
Kebbi,Wheat,Dry Season,Loamy,Rain-Fed,Drip,Yes,Yes,Yes,20.9,44.5,1,6,0,1,3.74,Medium,6.49,1.937,5.169,1.075,2.451,11.171,1.445,1.356,0.553,0.47,0.913,0.623
Bauchi,Millet,Rainy Season,Loamy,Rain-Fed,Flood,Yes,Yes,Yes,37.8,78.6,18,1,0,0,2.67,Medium,5.417,2.036,4.577,1.735,1.825,10.835,1.656,1.515,0.83,0.481,0.819,2.67
Kaduna,Wheat,Rainy Season,Sandy,Irrigation,Sprinkler,Yes,No,No,29.6,74.4,16,6,1,0,2.61,Medium,6.319,1.878,2.015,2.164,3.182,10.783,1.468,0.095,0.03,0.398,1.623,0.435
Niger,Rice,Dry Season,Sandy,Irrigation,Flood,Yes,Yes,No,23.5,85.7,5,7,0,1,3.57,Medium,6.804,1.892,3.624,2.062,2.766,11.134,1.509,1.524,0.551,0.274,1.234,0.51
Adamawa,Maize,Rainy Season,Silt,Rain-Fed,Flood,No,Yes,No,26.0,44.1,10,2,1,0,0.94,Low,6.643,2.127,4.171,0.0,3.635,11.217,1.072,1.908,0.525,0.59,1.055,0.47
Sokoto,Wheat,Dry Season,Loamy,Rain-Fed,Flood,Yes,No,No,26.1,74.6,7,4,0,1,3.31,Medium,6.782,2.054,3.848,1.766,3.035,10.609,1.322,0.432,0.142,0.35,1.149,0.828
Kano,Soybean,Dry Season,Loamy,Rain-Fed,Drip,Yes,Yes,No,26.5,76.8,0,1,1,0,2.07,Low,6.399,1.866,3.824,1.169,3.364,11.001,1.099,0.971,0.289,0.345,1.125,2.07
Kano,Groundnut,Rainy Season,Clay,Rain-Fed,Flood,No,Yes,No,33.2,55.1,8,3,1,1,3.92,Medium,7.013,1.975,4.174,1.803,2.332,10.968,1.475,1.428,0.612,0.603,1.141,1.307
Gombe,Cowpea,Dry Season,Loamy,Mixed,Flood,No,Yes,Yes,26.0,58.2,15,8,1,1,4.12,Medium,6.477,1.917,4.399,1.221,0.693,11.475,1.306,0.932,1.345,0.447,1.025,0.515
Zamfara,Groundnut,Rainy Season,Sandy,Rain-Fed,Flood,Yes,Yes,Yes,27.8,60.8,3,3,1,1,3.09,Medium,6.424,1.94,3.908,1.008,3.603,10.985,1.267,2.17,0.602,0.457,1.098,1.03
Gombe,Maize,Dry Season,Loamy,Rain-Fed,Drip,No,No,Yes,26.1,82.2,5,5,1,1,2.2,Medium,6.889,1.963,3.742,1.93,3.292,10.7,1.314,2.17,0.659,0.318,1.208,0.44
Kaduna,Wheat,Rainy Season,Clay,Rain-Fed,Sprinkler,Yes,No,Yes,27.6,69.9,6,1,1,0,2.83,Low,6.586,1.773,4.329,1.338,3.493,10.781,1.109,1.151,0.33,0.395,1.079,2.83
